transaction_id,date,amount,reference,exception_type,priority,action_required,assigned_to,due_date
LEDG00316,2024-01-18,1601.71,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00487,2024-01-22,718.77,REF003658,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00163,2024-01-23,1501.81,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00476,2024-01-25,889.02,REF173970,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00484,2024-01-28,1403.41,PAY112400,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00495,2024-02-01,1162.59,CHK304027,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00478,2024-02-01,1161.05,SAL363456,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00481,2024-02-07,1143.03,CHK681167,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00451,2024-02-07,1096.9,TRF257997,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00488,2024-02-07,1014.86,INV218377,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00459,2024-02-08,887.51,SAL210634,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00474,2024-02-08,1387.54,PAY500896,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00206,2024-02-08,1150.57,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00362,2024-02-10,1646.95,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00205,2024-02-14,418.1,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00455,2024-02-17,47.6,REF936002,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00063,2024-02-17,50.0,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00274,2024-02-17,500.0,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00500,2024-02-18,1393.29,CHK472791,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00355,2024-02-20,743.37,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00306,2024-02-21,341.79,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00482,2024-02-22,774.25,SAL712871,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00472,2024-02-23,1417.55,TRF770810,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00458,2024-02-24,787.71,CHK533983,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00492,2024-02-26,347.84,CHK673104,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00479,2024-02-28,1056.71,INV912091,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00498,2024-02-28,424.92,REF236949,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00461,2024-02-28,938.98,PAY597924,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00453,2024-02-29,513.1,CHK230493,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00469,2024-02-29,447.98,INV282628,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00045,2024-03-02,452.93,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00491,2024-03-02,973.43,SAL998768,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00463,2024-03-02,89.74,TRF278227,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00480,2024-03-03,926.73,SAL405577,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00483,2024-03-07,1059.08,SAL359289,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00460,2024-03-08,1130.0,CHK665849,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00454,2024-03-11,1482.9,REF330180,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00490,2024-03-12,77.72,CHK523190,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00082,2024-03-12,1000.0,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00489,2024-03-12,1146.71,INV785167,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00475,2024-03-12,1180.86,REF336321,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00448,2024-03-15,51.0,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00499,2024-03-16,1280.94,INV065818,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00477,2024-03-17,19.59,SAL910497,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00468,2024-03-17,307.26,INV307358,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00494,2024-03-18,707.81,SAL731938,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00302,2024-03-18,1000.0,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00486,2024-03-20,1065.1,REF882494,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00465,2024-03-21,355.76,REF944956,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00232,2024-03-21,99.99,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00467,2024-03-23,835.96,SAL149196,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00452,2024-03-23,864.1,SAL640182,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00014,2024-03-25,1115.31,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00462,2024-03-29,904.42,TRF469287,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00470,2024-03-30,363.26,INV745880,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
