transaction_id,date,amount,reference,issue,source,days_unmatched,priority,aging_bucket
LEDG00461,2024-02-28,938.98,PAY597924,No match found in bank statement,Ledger,904,High,30+ days
LEDG00453,2024-02-29,513.1,CHK230493,No match found in bank statement,Ledger,903,High,30+ days
LEDG00469,2024-02-29,447.98,INV282628,No match found in bank statement,Ledger,903,High,30+ days
LEDG00045,2024-03-02,452.93,,No match found in bank statement,Ledger,901,High,30+ days
LEDG00491,2024-03-02,973.43,SAL998768,No match found in bank statement,Ledger,901,High,30+ days
LEDG00463,2024-03-02,89.74,TRF278227,No match found in bank statement,Ledger,901,High,30+ days
LEDG00480,2024-03-03,926.73,SAL405577,No match found in bank statement,Ledger,900,High,30+ days
LEDG00483,2024-03-07,1059.08,SAL359289,No match found in bank statement,Ledger,896,High,30+ days
LEDG00460,2024-03-08,1130.0,CHK665849,No match found in bank statement,Ledger,895,High,30+ days
LEDG00454,2024-03-11,1482.9,REF330180,No match found in bank statement,Ledger,892,High,30+ days
LEDG00490,2024-03-12,77.72,CHK523190,No match found in bank statement,Ledger,891,High,30+ days
LEDG00082,2024-03-12,1000.0,,No match found in bank statement,Ledger,891,High,30+ days
LEDG00489,2024-03-12,1146.71,INV785167,No match found in bank statement,Ledger,891,High,30+ days
LEDG00475,2024-03-12,1180.86,REF336321,No match found in bank statement,Ledger,891,High,30+ days
LEDG00448,2024-03-15,51.0,,No match found in bank statement,Ledger,888,High,30+ days
LEDG00499,2024-03-16,1280.94,INV065818,No match found in bank statement,Ledger,887,High,30+ days
LEDG00477,2024-03-17,19.59,SAL910497,No match found in bank statement,Ledger,886,High,30+ days
LEDG00468,2024-03-17,307.26,INV307358,No match found in bank statement,Ledger,886,High,30+ days
LEDG00494,2024-03-18,707.81,SAL731938,No match found in bank statement,Ledger,885,High,30+ days
LEDG00302,2024-03-18,1000.0,,No match found in bank statement,Ledger,885,High,30+ days
LEDG00486,2024-03-20,1065.1,REF882494,No match found in bank statement,Ledger,883,High,30+ days
LEDG00465,2024-03-21,355.76,REF944956,No match found in bank statement,Ledger,882,High,30+ days
LEDG00232,2024-03-21,99.99,,No match found in bank statement,Ledger,882,High,30+ days
LEDG00467,2024-03-23,835.96,SAL149196,No match found in bank statement,Ledger,880,High,30+ days
LEDG00452,2024-03-23,864.1,SAL640182,No match found in bank statement,Ledger,880,High,30+ days
LEDG00014,2024-03-25,1115.31,,No match found in bank statement,Ledger,878,High,30+ days
LEDG00462,2024-03-29,904.42,TRF469287,No match found in bank statement,Ledger,874,High,30+ days
LEDG00470,2024-03-30,363.26,INV745880,No match found in bank statement,Ledger,873,High,30+ days
