transaction_id,date,amount,reference,description,bank_account,transaction_type
BANK00118,2024-01-07,1207.85,TRF500532,Transaction TRF500532,BUSINESS_ACCOUNT_001,CREDIT
BANK00315,2024-01-08,500.0,CHK419016,Transaction CHK419016,BUSINESS_ACCOUNT_001,DEBIT
BANK00301,2024-01-08,358.99,TRF470685,Transaction TRF470685,BUSINESS_ACCOUNT_001,TRANSFER
BANK00407,2024-01-08,1923.02,REF101634,Transaction REF101634,BUSINESS_ACCOUNT_001,TRANSFER
BANK00106,2024-01-08,1726.1,INV402122,Transaction INV402122,BUSINESS_ACCOUNT_001,CREDIT
BANK00060,2024-01-08,1172.79,INV748092,Transaction INV748092,BUSINESS_ACCOUNT_001,DEBIT
BANK00380,2024-01-08,527.86,SAL795586,Transaction SAL795586,BUSINESS_ACCOUNT_001,CREDIT
BANK00111,2024-01-08,1270.47,INV129412,Transaction INV129412,BUSINESS_ACCOUNT_001,CREDIT
BANK00430,2024-01-09,50.0,INV469729,Transaction INV469729,BUSINESS_ACCOUNT_001,DEBIT
BANK00363,2024-01-09,1433.95,PAY056453,Transaction PAY056453,BUSINESS_ACCOUNT_001,DEBIT
BANK00269,2024-01-09,1210.36,CHK938258,Transaction CHK938258,BUSINESS_ACCOUNT_001,CREDIT
BANK00052,2024-01-09,250.0,REF423339,Transaction REF423339,BUSINESS_ACCOUNT_001,DEBIT
BANK00185,2024-01-09,50.0,PAY730155,Transaction PAY730155,BUSINESS_ACCOUNT_001,DEBIT
BANK00103,2024-01-09,250.0,INV302371,Transaction INV302371,BUSINESS_ACCOUNT_001,CREDIT
BANK00141,2024-01-09,187.52,PAY108694,Transaction PAY108694,BUSINESS_ACCOUNT_001,TRANSFER
BANK00471,2024-01-10,1123.7,INV100407,Transaction INV100407,BUSINESS_ACCOUNT_001,CREDIT
BANK00467,2024-01-10,1905.77,TRF852139,Transaction TRF852139,BUSINESS_ACCOUNT_001,CREDIT
BANK00109,2024-01-11,50.0,REF802949,Transaction REF802949,BUSINESS_ACCOUNT_001,TRANSFER
BANK00229,2024-01-11,629.77,TRF818400,Transaction TRF818400,BUSINESS_ACCOUNT_001,TRANSFER
BANK00251,2024-01-11,50.0,REF229195,Transaction REF229195,BUSINESS_ACCOUNT_001,CREDIT
BANK00265,2024-01-12,1194.15,PAY638600,Transaction PAY638600,BUSINESS_ACCOUNT_001,CREDIT
BANK00199,2024-01-12,995.89,CHK331190,Transaction CHK331190,BUSINESS_ACCOUNT_001,TRANSFER
BANK00484,2024-01-12,1743.23,CHK361584,Transaction CHK361584,BUSINESS_ACCOUNT_001,CREDIT
BANK00492,2024-01-12,1000.0,INV132225,Transaction INV132225,BUSINESS_ACCOUNT_001,DEBIT
BANK00121,2024-01-12,73.29,PAY971887,Transaction PAY971887,BUSINESS_ACCOUNT_001,TRANSFER
BANK00431,2024-01-12,140.6,REF304545,Transaction REF304545,BUSINESS_ACCOUNT_001,CREDIT
BANK00418,2024-01-13,1087.12,TRF394189,Transaction TRF394189,BUSINESS_ACCOUNT_001,CREDIT
BANK00156,2024-01-13,112.75,REF828769,Transaction REF828769,BUSINESS_ACCOUNT_001,CREDIT
BANK00372,2024-01-13,1677.27,REF383371,Transaction REF383371,BUSINESS_ACCOUNT_001,DEBIT
BANK00382,2024-01-14,1795.9,INV571733,Transaction INV571733,BUSINESS_ACCOUNT_001,DEBIT
BANK00051,2024-01-14,100.0,PAY357757,Transaction PAY357757,BUSINESS_ACCOUNT_001,CREDIT
BANK00297,2024-01-14,222.09,PAY925448,Transaction PAY925448,BUSINESS_ACCOUNT_001,TRANSFER
BANK00080,2024-01-14,1142.47,PAY575176,Transaction PAY575176,BUSINESS_ACCOUNT_001,DEBIT
BANK00139,2024-01-14,50.0,INV427598,Transaction INV427598,BUSINESS_ACCOUNT_001,TRANSFER
BANK00143,2024-01-15,953.2,PAY271816,Transaction PAY271816,BUSINESS_ACCOUNT_001,DEBIT
BANK00152,2024-01-15,50.0,SAL684462,Transaction SAL684462,BUSINESS_ACCOUNT_001,DEBIT
BANK00098,2024-01-15,50.0,INV352367,Transaction INV352367,BUSINESS_ACCOUNT_001,CREDIT
BANK00002,2024-01-15,250.0,TRF365765,Transaction TRF365765,BUSINESS_ACCOUNT_001,DEBIT
BANK00082,2024-01-15,554.08,TRF564170,Transaction TRF564170,BUSINESS_ACCOUNT_001,DEBIT
BANK00385,2024-01-15,1721.65,SAL347713,Transaction SAL347713,BUSINESS_ACCOUNT_001,DEBIT
BANK00404,2024-01-15,484.99,CHK676382,Transaction CHK676382,BUSINESS_ACCOUNT_001,CREDIT
BANK00033,2024-01-15,1678.58,TRF271574,Transaction TRF271574,BUSINESS_ACCOUNT_001,CREDIT
BANK00477,2024-01-16,409.71,REF885968,Transaction REF885968,BUSINESS_ACCOUNT_001,CREDIT
BANK00439,2024-01-16,1547.92,PAY398004,Transaction PAY398004,BUSINESS_ACCOUNT_001,CREDIT
BANK00459,2024-01-16,502.6,CHK371802,Transaction CHK371802,BUSINESS_ACCOUNT_001,DEBIT
BANK00259,2024-01-16,548.78,INV217338,Transaction INV217338,BUSINESS_ACCOUNT_001,DEBIT
BANK00417,2024-01-16,222.89,PAY833303,Transaction PAY833303,BUSINESS_ACCOUNT_001,TRANSFER
BANK00230,2024-01-16,50.0,PAY693644,Transaction PAY693644,BUSINESS_ACCOUNT_001,CREDIT
BANK00448,2024-01-16,100.0,SAL674527,Transaction SAL674527,BUSINESS_ACCOUNT_001,CREDIT
BANK00381,2024-01-16,987.46,PAY014354,Transaction PAY014354,BUSINESS_ACCOUNT_001,CREDIT
BANK00223,2024-01-17,147.15,PAY054414,Transaction PAY054414,BUSINESS_ACCOUNT_001,TRANSFER
BANK00421,2024-01-17,1000.0,CHK613530,Transaction CHK613530,BUSINESS_ACCOUNT_001,DEBIT
BANK00330,2024-01-17,1387.63,INV641886,Transaction INV641886,BUSINESS_ACCOUNT_001,DEBIT
BANK00361,2024-01-17,500.0,INV966900,Transaction INV966900,BUSINESS_ACCOUNT_001,CREDIT
BANK00304,2024-01-17,1000.0,INV219179,Transaction INV219179,BUSINESS_ACCOUNT_001,CREDIT
BANK00074,2024-01-18,842.3,REF744760,Transaction REF744760,BUSINESS_ACCOUNT_001,CREDIT
BANK00346,2024-01-18,814.93,INV235092,Transaction INV235092,BUSINESS_ACCOUNT_001,CREDIT
BANK00286,2024-01-18,1601.71,SAL406165,Transaction SAL406165,BUSINESS_ACCOUNT_001,CREDIT
BANK00047,2024-01-18,50.0,PAY722856,Transaction PAY722856,BUSINESS_ACCOUNT_001,DEBIT
BANK00242,2024-01-19,1165.37,CHK365850,Transaction CHK365850,BUSINESS_ACCOUNT_001,DEBIT
BANK00472,2024-01-19,1000.0,PAY573793,Transaction PAY573793,BUSINESS_ACCOUNT_001,DEBIT
BANK00423,2024-01-19,500.0,REF104034,Transaction REF104034,BUSINESS_ACCOUNT_001,DEBIT
BANK00211,2024-01-19,1390.96,INV728393,Transaction INV728393,BUSINESS_ACCOUNT_001,TRANSFER
BANK00270,2024-01-19,1925.67,TRF921595,Transaction TRF921595,BUSINESS_ACCOUNT_001,TRANSFER
BANK00239,2024-01-19,503.97,TRF380179,Transaction TRF380179,BUSINESS_ACCOUNT_001,CREDIT
BANK00325,2024-01-19,500.0,INV956474,Transaction INV956474,BUSINESS_ACCOUNT_001,TRANSFER
BANK00420,2024-01-19,1864.74,INV384150,Transaction INV384150,BUSINESS_ACCOUNT_001,DEBIT
BANK00274,2024-01-20,50.0,TRF565547,Transaction TRF565547,BUSINESS_ACCOUNT_001,DEBIT
BANK00378,2024-01-20,100.0,INV982303,Transaction INV982303,BUSINESS_ACCOUNT_001,DEBIT
BANK00236,2024-01-20,700.44,SAL120885,Transaction SAL120885,BUSINESS_ACCOUNT_001,DEBIT
BANK00243,2024-01-20,36.06,CHK626394,Transaction CHK626394,BUSINESS_ACCOUNT_001,DEBIT
BANK00300,2024-01-20,1205.03,PAY869767,Transaction PAY869767,BUSINESS_ACCOUNT_001,DEBIT
BANK00022,2024-01-21,1151.14,TRF095870,Transaction TRF095870,BUSINESS_ACCOUNT_001,CREDIT
BANK00044,2024-01-21,874.56,PAY008660,Transaction PAY008660,BUSINESS_ACCOUNT_001,DEBIT
BANK00298,2024-01-21,500.0,INV769374,Transaction INV769374,BUSINESS_ACCOUNT_001,CREDIT
BANK00005,2024-01-21,250.0,PAY726544,Transaction PAY726544,BUSINESS_ACCOUNT_001,TRANSFER
BANK00318,2024-01-21,100.0,SAL133384,Transaction SAL133384,BUSINESS_ACCOUNT_001,DEBIT
BANK00310,2024-01-22,1899.12,TRF273009,Transaction TRF273009,BUSINESS_ACCOUNT_001,TRANSFER
BANK00396,2024-01-22,100.0,PAY297851,Transaction PAY297851,BUSINESS_ACCOUNT_001,CREDIT
BANK00013,2024-01-22,50.0,REF458563,Transaction REF458563,BUSINESS_ACCOUNT_001,CREDIT
BANK00444,2024-01-22,1929.4,INV948199,Transaction INV948199,BUSINESS_ACCOUNT_001,TRANSFER
BANK00026,2024-01-22,1564.78,INV706520,Transaction INV706520,BUSINESS_ACCOUNT_001,DEBIT
BANK00356,2024-01-23,809.84,TRF043281,Transaction TRF043281,BUSINESS_ACCOUNT_001,TRANSFER
BANK00255,2024-01-23,967.37,INV074467,Transaction INV074467,BUSINESS_ACCOUNT_001,DEBIT
BANK00466,2024-01-23,1317.4,PAY235079,Transaction PAY235079,BUSINESS_ACCOUNT_001,DEBIT
BANK00429,2024-01-23,1501.81,PAY819513,Transaction PAY819513,BUSINESS_ACCOUNT_001,TRANSFER
BANK00151,2024-01-23,1215.49,TRF301938,Transaction TRF301938,BUSINESS_ACCOUNT_001,CREDIT
BANK00125,2024-01-23,88.23,SAL976499,Transaction SAL976499,BUSINESS_ACCOUNT_001,CREDIT
BANK00478,2024-01-24,1644.67,TRF510707,Transaction TRF510707,BUSINESS_ACCOUNT_001,DEBIT
BANK00092,2024-01-24,250.0,INV116523,Transaction INV116523,BUSINESS_ACCOUNT_001,DEBIT
BANK00352,2024-01-24,10.47,TRF200297,Transaction TRF200297,BUSINESS_ACCOUNT_001,DEBIT
BANK00371,2024-01-24,139.32,INV645891,Transaction INV645891,BUSINESS_ACCOUNT_001,DEBIT
BANK00190,2024-01-24,760.12,SAL635124,Transaction SAL635124,BUSINESS_ACCOUNT_001,CREDIT
BANK00225,2024-01-24,907.17,PAY539743,Transaction PAY539743,BUSINESS_ACCOUNT_001,CREDIT
BANK00483,2024-01-24,100.0,CHK920478,Transaction CHK920478,BUSINESS_ACCOUNT_001,TRANSFER
BANK00011,2024-01-24,1000.0,PAY319155,Transaction PAY319155,BUSINESS_ACCOUNT_001,CREDIT
BANK00336,2024-01-24,951.69,CHK205213,Transaction CHK205213,BUSINESS_ACCOUNT_001,CREDIT
BANK00278,2024-01-24,678.37,CHK190767,Transaction CHK190767,BUSINESS_ACCOUNT_001,CREDIT
BANK00275,2024-01-24,50.0,PAY725822,Transaction PAY725822,BUSINESS_ACCOUNT_001,CREDIT
BANK00392,2024-01-25,526.91,REF829005,Transaction REF829005,BUSINESS_ACCOUNT_001,DEBIT
BANK00285,2024-01-25,500.0,TRF626890,Transaction TRF626890,BUSINESS_ACCOUNT_001,DEBIT
BANK00370,2024-01-25,1978.48,REF224943,Transaction REF224943,BUSINESS_ACCOUNT_001,TRANSFER
BANK00347,2024-01-25,1609.91,INV189503,Transaction INV189503,BUSINESS_ACCOUNT_001,TRANSFER
BANK00093,2024-01-26,957.66,CHK216129,Transaction CHK216129,BUSINESS_ACCOUNT_001,TRANSFER
BANK00447,2024-01-26,1494.22,INV134649,Transaction INV134649,BUSINESS_ACCOUNT_001,TRANSFER
BANK00368,2024-01-26,1574.83,PAY140642,Transaction PAY140642,BUSINESS_ACCOUNT_001,TRANSFER
BANK00140,2024-01-27,100.0,INV698308,Transaction INV698308,BUSINESS_ACCOUNT_001,CREDIT
BANK00316,2024-01-27,675.15,SAL958370,Transaction SAL958370,BUSINESS_ACCOUNT_001,DEBIT
BANK00317,2024-01-27,222.13,CHK333463,Transaction CHK333463,BUSINESS_ACCOUNT_001,DEBIT
BANK00178,2024-01-27,1859.76,SAL233665,Transaction SAL233665,BUSINESS_ACCOUNT_001,TRANSFER
BANK00358,2024-01-27,1968.33,INV140491,Transaction INV140491,BUSINESS_ACCOUNT_001,CREDIT
BANK00184,2024-01-27,411.24,SAL713088,Transaction SAL713088,BUSINESS_ACCOUNT_001,DEBIT
BANK00168,2024-01-28,584.37,CHK157489,Transaction CHK157489,BUSINESS_ACCOUNT_001,DEBIT
BANK00117,2024-01-28,1035.32,REF701257,Transaction REF701257,BUSINESS_ACCOUNT_001,TRANSFER
BANK00320,2024-01-28,924.77,CHK085322,Transaction CHK085322,BUSINESS_ACCOUNT_001,DEBIT
BANK00169,2024-01-28,317.18,INV501741,Transaction INV501741,BUSINESS_ACCOUNT_001,DEBIT
BANK00161,2024-01-28,500.0,TRF154505,Transaction TRF154505,BUSINESS_ACCOUNT_001,CREDIT
BANK00452,2024-01-29,1555.43,INV355418,Transaction INV355418,BUSINESS_ACCOUNT_001,TRANSFER
BANK00500,2024-01-29,172.24,REF644470,Transaction REF644470,BUSINESS_ACCOUNT_001,DEBIT
BANK00154,2024-01-29,184.9,REF653727,Transaction REF653727,BUSINESS_ACCOUNT_001,CREDIT
BANK00097,2024-01-29,276.69,TRF047565,Transaction TRF047565,BUSINESS_ACCOUNT_001,DEBIT
BANK00017,2024-01-30,785.34,TRF346788,Transaction TRF346788,BUSINESS_ACCOUNT_001,DEBIT
BANK00319,2024-01-30,1412.8,SAL680768,Transaction SAL680768,BUSINESS_ACCOUNT_001,DEBIT
BANK00172,2024-01-30,1101.72,PAY260795,Transaction PAY260795,BUSINESS_ACCOUNT_001,CREDIT
BANK00311,2024-01-30,1908.63,TRF208607,Transaction TRF208607,BUSINESS_ACCOUNT_001,CREDIT
BANK00332,2024-01-30,450.21,REF769233,Transaction REF769233,BUSINESS_ACCOUNT_001,DEBIT
BANK00419,2024-01-30,690.33,REF893879,Transaction REF893879,BUSINESS_ACCOUNT_001,DEBIT
BANK00256,2024-01-31,1533.06,CHK604286,Transaction CHK604286,BUSINESS_ACCOUNT_001,DEBIT
BANK00218,2024-02-01,46.04,INV352383,Transaction INV352383,BUSINESS_ACCOUNT_001,CREDIT
BANK00387,2024-02-01,50.0,REF318727,Transaction REF318727,BUSINESS_ACCOUNT_001,DEBIT
BANK00353,2024-02-01,250.0,TRF139426,Transaction TRF139426,BUSINESS_ACCOUNT_001,TRANSFER
BANK00481,2024-02-01,500.0,PAY810954,Transaction PAY810954,BUSINESS_ACCOUNT_001,CREDIT
BANK00193,2024-02-01,100.0,SAL363905,Transaction SAL363905,BUSINESS_ACCOUNT_001,CREDIT
BANK00157,2024-02-01,50.0,PAY428019,Transaction PAY428019,BUSINESS_ACCOUNT_001,DEBIT
BANK00342,2024-02-01,1659.54,INV320653,Transaction INV320653,BUSINESS_ACCOUNT_001,DEBIT
BANK00268,2024-02-01,1612.58,PAY590009,Transaction PAY590009,BUSINESS_ACCOUNT_001,CREDIT
BANK00216,2024-02-01,315.17,SAL951156,Transaction SAL951156,BUSINESS_ACCOUNT_001,CREDIT
BANK00362,2024-02-02,601.04,INV907604,Transaction INV907604,BUSINESS_ACCOUNT_001,DEBIT
BANK00023,2024-02-02,902.41,TRF306597,Transaction TRF306597,BUSINESS_ACCOUNT_001,TRANSFER
BANK00344,2024-02-02,967.31,REF625999,Transaction REF625999,BUSINESS_ACCOUNT_001,DEBIT
BANK00246,2024-02-02,179.85,CHK219916,Transaction CHK219916,BUSINESS_ACCOUNT_001,CREDIT
BANK00123,2024-02-02,1789.49,INV484523,Transaction INV484523,BUSINESS_ACCOUNT_001,TRANSFER
BANK00495,2024-02-02,1491.12,REF515093,Transaction REF515093,BUSINESS_ACCOUNT_001,DEBIT
BANK00114,2024-02-02,806.6,TRF272151,Transaction TRF272151,BUSINESS_ACCOUNT_001,DEBIT
BANK00277,2024-02-02,1822.14,TRF064476,Transaction TRF064476,BUSINESS_ACCOUNT_001,DEBIT
BANK00488,2024-02-02,1198.98,CHK984693,Transaction CHK984693,BUSINESS_ACCOUNT_001,DEBIT
BANK00487,2024-02-02,1000.0,INV210271,Transaction INV210271,BUSINESS_ACCOUNT_001,DEBIT
BANK00305,2024-02-02,376.9,REF008968,Transaction REF008968,BUSINESS_ACCOUNT_001,DEBIT
BANK00296,2024-02-02,999.96,CHK538380,Transaction CHK538380,BUSINESS_ACCOUNT_001,DEBIT
BANK00465,2024-02-02,1949.65,TRF526360,Transaction TRF526360,BUSINESS_ACCOUNT_001,CREDIT
BANK00294,2024-02-02,1631.96,PAY862401,Transaction PAY862401,BUSINESS_ACCOUNT_001,TRANSFER
BANK00077,2024-02-03,965.94,REF762222,Transaction REF762222,BUSINESS_ACCOUNT_001,TRANSFER
BANK00469,2024-02-03,300.38,CHK725422,Transaction CHK725422,BUSINESS_ACCOUNT_001,TRANSFER
BANK00435,2024-02-03,50.0,SAL565992,Transaction SAL565992,BUSINESS_ACCOUNT_001,DEBIT
BANK00122,2024-02-03,1073.5,CHK325187,Transaction CHK325187,BUSINESS_ACCOUNT_001,CREDIT
BANK00112,2024-02-04,500.0,PAY514086,Transaction PAY514086,BUSINESS_ACCOUNT_001,TRANSFER
BANK00113,2024-02-04,925.64,TRF595823,Transaction TRF595823,BUSINESS_ACCOUNT_001,DEBIT
BANK00131,2024-02-04,250.0,SAL876481,Transaction SAL876481,BUSINESS_ACCOUNT_001,TRANSFER
BANK00062,2024-02-04,1000.0,REF463468,Transaction REF463468,BUSINESS_ACCOUNT_001,CREDIT
BANK00327,2024-02-04,1047.39,TRF255106,Transaction TRF255106,BUSINESS_ACCOUNT_001,CREDIT
BANK00290,2024-02-04,500.0,SAL840522,Transaction SAL840522,BUSINESS_ACCOUNT_001,CREDIT
BANK00486,2024-02-04,1631.5,PAY612569,Transaction PAY612569,BUSINESS_ACCOUNT_001,DEBIT
BANK00155,2024-02-05,120.75,REF312235,Transaction REF312235,BUSINESS_ACCOUNT_001,CREDIT
BANK00065,2024-02-05,782.65,TRF900977,Transaction TRF900977,BUSINESS_ACCOUNT_001,DEBIT
BANK00376,2024-02-05,250.0,SAL560205,Transaction SAL560205,BUSINESS_ACCOUNT_001,CREDIT
BANK00281,2024-02-05,824.73,CHK831328,Transaction CHK831328,BUSINESS_ACCOUNT_001,DEBIT
BANK00238,2024-02-05,1000.0,CHK086793,Transaction CHK086793,BUSINESS_ACCOUNT_001,CREDIT
BANK00267,2024-02-06,1117.88,CHK033941,Transaction CHK033941,BUSINESS_ACCOUNT_001,DEBIT
BANK00128,2024-02-06,131.55,TRF347949,Transaction TRF347949,BUSINESS_ACCOUNT_001,DEBIT
BANK00187,2024-02-06,1050.9,PAY765632,Transaction PAY765632,BUSINESS_ACCOUNT_001,DEBIT
BANK00335,2024-02-06,1998.71,SAL337270,Transaction SAL337270,BUSINESS_ACCOUNT_001,CREDIT
BANK00282,2024-02-07,877.89,TRF742861,Transaction TRF742861,BUSINESS_ACCOUNT_001,DEBIT
BANK00312,2024-02-07,100.0,SAL518127,Transaction SAL518127,BUSINESS_ACCOUNT_001,CREDIT
BANK00018,2024-02-07,500.0,REF945994,Transaction REF945994,BUSINESS_ACCOUNT_001,DEBIT
BANK00224,2024-02-07,100.0,CHK387491,Transaction CHK387491,BUSINESS_ACCOUNT_001,CREDIT
BANK00464,2024-02-08,1364.11,PAY541451,Transaction PAY541451,BUSINESS_ACCOUNT_001,DEBIT
BANK00366,2024-02-08,100.0,REF722648,Transaction REF722648,BUSINESS_ACCOUNT_001,CREDIT
BANK00200,2024-02-08,1150.57,PAY344640,Transaction PAY344640,BUSINESS_ACCOUNT_001,CREDIT
BANK00248,2024-02-08,143.48,TRF200826,Transaction TRF200826,BUSINESS_ACCOUNT_001,DEBIT
BANK00046,2024-02-08,122.04,TRF409709,Transaction TRF409709,BUSINESS_ACCOUNT_001,DEBIT
BANK00415,2024-02-09,1000.0,REF520576,Transaction REF520576,BUSINESS_ACCOUNT_001,CREDIT
BANK00247,2024-02-09,1009.37,REF850545,Transaction REF850545,BUSINESS_ACCOUNT_001,DEBIT
BANK00496,2024-02-09,872.97,TRF666615,Transaction TRF666615,BUSINESS_ACCOUNT_001,CREDIT
BANK00087,2024-02-09,502.22,REF417887,Transaction REF417887,BUSINESS_ACCOUNT_001,CREDIT
BANK00293,2024-02-10,1646.94,TRF571302,Transaction TRF571302,BUSINESS_ACCOUNT_001,CREDIT
BANK00096,2024-02-10,500.0,PAY195263,Transaction PAY195263,BUSINESS_ACCOUNT_001,CREDIT
BANK00116,2024-02-10,829.21,INV110394,Transaction INV110394,BUSINESS_ACCOUNT_001,TRANSFER
BANK00257,2024-02-11,50.0,PAY828122,Transaction PAY828122,BUSINESS_ACCOUNT_001,TRANSFER
BANK00163,2024-02-11,958.47,TRF044997,Transaction TRF044997,BUSINESS_ACCOUNT_001,CREDIT
BANK00145,2024-02-11,1172.56,CHK407306,Transaction CHK407306,BUSINESS_ACCOUNT_001,DEBIT
BANK00367,2024-02-11,444.33,PAY546368,Transaction PAY546368,BUSINESS_ACCOUNT_001,TRANSFER
BANK00030,2024-02-11,708.32,SAL656169,Transaction SAL656169,BUSINESS_ACCOUNT_001,CREDIT
BANK00402,2024-02-11,498.12,SAL385666,Transaction SAL385666,BUSINESS_ACCOUNT_001,DEBIT
BANK00498,2024-02-12,1441.21,CHK445132,Transaction CHK445132,BUSINESS_ACCOUNT_001,CREDIT
BANK00364,2024-02-12,561.76,REF127461,Transaction REF127461,BUSINESS_ACCOUNT_001,CREDIT
BANK00153,2024-02-12,1000.0,INV186716,Transaction INV186716,BUSINESS_ACCOUNT_001,CREDIT
BANK00491,2024-02-12,172.44,REF195721,Transaction REF195721,BUSINESS_ACCOUNT_001,TRANSFER
BANK00189,2024-02-13,1635.03,INV763872,Transaction INV763872,BUSINESS_ACCOUNT_001,CREDIT
BANK00331,2024-02-13,506.84,CHK674862,Transaction CHK674862,BUSINESS_ACCOUNT_001,CREDIT
BANK00059,2024-02-13,914.54,PAY899268,Transaction PAY899268,BUSINESS_ACCOUNT_001,CREDIT
BANK00499,2024-02-13,100.0,INV123072,Transaction INV123072,BUSINESS_ACCOUNT_001,CREDIT
BANK00129,2024-02-13,100.0,REF411139,Transaction REF411139,BUSINESS_ACCOUNT_001,CREDIT
BANK00170,2024-02-13,1069.85,SAL136877,Transaction SAL136877,BUSINESS_ACCOUNT_001,CREDIT
BANK00214,2024-02-13,1170.95,SAL515046,Transaction SAL515046,BUSINESS_ACCOUNT_001,DEBIT
